id_ibge,location,year,wage,num_emp,num_jobs,num_est,wage_avg,age_avg,wage_growth,wage_growth_5,num_emp_growth,num_emp_growth_5,bra_id,cnae_id,rca,distance,opp_gain,cnae_1,cnae_3,cnae_6,cbo_diversity,cbo_diversity_eff,num_jobs_est,cnae_display,bra_rca,wld_rca
3106200,"Belo Horizonte",2014,,,,,,,,,,,"4mg030000","c13138",,0.821,-0.079,"c","c13","c13138",196,31.49,0,"13138",false,false
3106200,"Belo Horizonte",2014,,,,,,,,,,,"4mg030000","c13146",,0.827,0.05,"c","c13","c13146",149,21.744,0,"13146",false,false
3106200,"Belo Horizonte",2014,520360.65,116,116,3,4485.87,41.371,0.091,0.012,-0.676,0.003,"4mg030000","c13219",0.264,0.823,-0.093,"c","c13","c13219",252,32.573,39,"13219",false,false
3106200,"Belo Horizonte",2014,,,,,,,,,,,"4mg030000","c13227",,0.824,-0.032,"c","c13","c13227",129,30.944,0,"13227",false,false
3106200,"Belo Horizonte",2014,,,,,,,,,,,"4mg030000","c13235",,0.833,-0.038,"c","c13","c13235",221,32.3,0,"13235",false,false
3106200,"Belo Horizonte",2014,366256.52,291,291,5,1258.61,34.608,7.56,0.263,4.389,0.367,"4mg030000","c13308",0.252,0.825,-0.061,"c","c13","c13308",250,34.916,59,"13308",false,false
3106200,"Belo Horizonte",2014,647091.91,427,428,40,1511.9,36.276,0.094,-0.037,-0.36,-0.051,"4mg030000","c13405",0.3,0.834,-0.074,"c","c13","c13405",320,42.152,11,"13405",false,false
3106200,"Belo Horizonte",2014,552902.22,355,355,28,1557.47,38.924,0.074,-0.001,-0.301,-0.016,"4mg030000","c13511",0.264,0.823,-0.077,"c","c13","c13511",313,34.432,13,"13511",false,false
3106200,"Belo Horizonte",2014,,,,,,,,,,,"4mg030000","c13529",,0.831,-0.065,"c","c13","c13529",224,48.137,0,"13529",false,false
3106200,"Belo Horizonte",2014,7656.9,10,10,3,765.69,47.5,4.489,-0.02,4,-0.036,"4mg030000","c13537",0.048,0.821,-0.038,"c","c13","c13537",167,36.872,4,"13537",false,false
3106200,"Belo Horizonte",2014,131121.75,96,96,6,1365.85,35.323,0.677,0.02,-0.02,-0.006,"4mg030000","c13545",0.145,0.833,-0.047,"c","c13","c13545",278,61.341,16,"13545",false,false
